Roman
Vassilchenko
c603de4df9aed53d8d78f6d525ca9e79
[6.4.2023 | 18:27:53] {"type":"cmd","data":"run"}
,[6.4.2023 | 18:27:54] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:54] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:54] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:54] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:54] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:54] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:54] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:55] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:55] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:55] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:55] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:55] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:55] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:55] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:55] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:55] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:55] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:55] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:55] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:56] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:56] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:56] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:56] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:56] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:56] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:56] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:56] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:56] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:56] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:57] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:57] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:57] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:57] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:57] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:57] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:57] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:57] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:57] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:57] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:58] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:58] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:58] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:58] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:58] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:58] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:58] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:58] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:58] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:58] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:59] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:59] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:59] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:59] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:59] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:59] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:59] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:59] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:59] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:27:59] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:0] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:0] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:0] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:0] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:0] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:0] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:0] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:0] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:0] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:0] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:1] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:1] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:1] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:1] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:1] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:1] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:1] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":0,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:1] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:1] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:1] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:2] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":264,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:2] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:2] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:2] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:2] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:2] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:2] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:2] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:2] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:2] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:3] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":528,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:3] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:3] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:3] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:3] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:3] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:3] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:3] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:3] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:3] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:4] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":2080,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:4] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:4] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:4] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:4] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:4] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:4] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:4] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:4] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:4] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:5] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:5] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:5] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:5] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:5] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:5] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:5] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:5] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:5] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:5] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:6] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:6] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:6] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:6] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:6] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:6] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":4160,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:6] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:6] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:6] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
,[6.4.2023 | 18:28:7] {"client-id":"f2d93652-3699-469e-98fc-94787b337d58","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":16,"modeltime":0,"type":"gpio"}
